"Strings","Encrypted"
"I apologize for any trouble.","oA8d4Pz3m6ZLNISrHf8SVGb+BkylooefQpsi/PpmKM8="
"I am sorry for the misunderstanding.","/SaLIhMbYUbAyAEyp2ap9Mzg5tz92+cQhxzf4ZrsI58cT24beKp3gw=="
"I am sorry for being rude.","/SaLIhMbYUZMSKgtcCtfZQyIiwquqR1INv8TFp8MLr8="
"I am sorry for the delay.","/SaLIhMbYUbAyAEyp2ap9DacZJF7RjG9SwCJaV7wSSY="
"I didn’t mean to offend you.","hvEus81jiBQjEN1/RJ9UlSAfnrvWTUwn/A6junIHUG4="
"You ought to see a doctor.","a9FFC0A6VwkJT3uPCEVv22zw6vwpqDn/2HdugjgwSc0="
"It’s a good idea to save money.","NSvq0sq5JANlQdHVNVka5sBs+oXGXV9tsZj844KZN1FLAIlpXvBJJg=="
"You should take a break.","7O9YTXnV0OZbkXk4X9Cbfps5KCkzH8GjSYdSNTKjmV0="
"I think you should go.","5nhqrinJhcg57VvodEuGAEvxAMrrTNC8"
"It’s better to be safe.","i2iOnJjDMyABy4GZML7Z43y3BhjQnj07SwCJaV7wSSY="
"You ought to eat healthier.","a9FFC0A6VwkMnQyH0uSnML4sKcYAk6Od/E6beAt2zNU="
"I advise you to study hard.","dt5rw4rPKESuchCA3U3NV/2JlTggSKVjC97u06HQwrQ="
"You should get some rest.","7O9YTXnV0Ob1Af57gWm1VHmm+7hPQ8m4SwCJaV7wSSY="
"You need to work on that.","jrm5A8S/nUv1/fOtTNTyH2wqgVyuspxdSwCJaV7wSSY="
"It’s good to be prepared.","TdGC2IwHjSsNqr5x6OrP/uNTbw6XFbXtQbvWqqIvlpg="
"Try to be on time.","qIkcqGW5WRyi+2xQP+l97Tb/ExafDC6/"
"You ought to listen to her.","a9FFC0A6Vwn5kqi8cC2u3u2T7yz5eEiu/E6beAt2zNU="
"It’s best to be honest.","i2iOnJjDMyDH+g/FQVk8qCvSYyJ5X0VlSwCJaV7wSSY="
"Expressing Gratitude – English Sentences","klzzGBFho7gAZZIHucTKaAJ9/RPAj830XBl5YDk/LM1p51Eo0SGGX3TvtRi06vWN"
"I am grateful for your help.","WVWpAVx905WzNh4wMJAFW/C6aMXzCHdZbpL6rfYtPcM="
"I can’t thank you enough.","i+TstKSDOqlNygQlVTC+caI2oW6rlC49+bDhmVQXeMM="
"I am thankful for your support.","H8kEycD2JbtsbosyHmgtqZGRhlb+IgD1UQnSz4AvFDA="
"Thank you for your time.","QaFWSv8UPZShApTAnGVA24RvRHdKRZahSYdSNTKjmV0="
"Thank you for being there.","QaFWSv8UPZT+iXHlPvVQh8hlqRvmRl/SNv8TFp8MLr8="
"Thank you for your generosity.","QaFWSv8UPZShApTAnGVA25T87Ge3uXSufwU6CP8OnK0="
"I am thankful for your assistance.","H8kEycD2JbtsbosyHmgtqRlfcgwTw/2DrzkJFi9s1IM2/xMWnwwuvw=="
"Thank you for the information.","QaFWSv8UPZSGVoq2CHyQgP15ims6FfwzgLGvQj5PiLk="
"You did a good job.","R5s/m6IM0yZZuK74vZ8V5J89jVW+djkg"
"You have a beautiful smile.","9yDaNn3gLTVA8szrA67iyi3EkfKJNcNTMpwO5o7vnfA="
"You are a great friend.","//a6aFACOztOG5ZjudPI0O0ydsRt5GDL"
"You have a nice voice.","9yDaNn3gLTX+uK/77fXjDkgXqqOyAw+5"
"Making Small Talk – English Sentences","aglerHW38twj/VftHUVILqVsacw668gdiu7MG0m8TsDGHsisXlrcUg=="
"How is the weather today?","7HpYzzA1nqgkTvpv0NQDQmGyFctGH+ILzx6rK74kz5w="
"Did you watch the game last night?","o9XqGVDl7UEstx2na1TNmijZlEKSruaQRhi+73QVuKlq1grQmwwE6Q=="
"What did you do over the weekend?","xon4AgsG08c/ilC49+cgJQluxCG8ronYN1Ueh2p+Hn7PHqsrviTPnA=="
"Have you seen any good movies lately?","s2flWEYgwT935Z4X2GexIyKa0DjqAeDsp/adu/80TK7EL5VK7QwD5g=="
"Do you have any hobbies?","fqOir5Xgvtfu+le94XmO5r+PP4MG5naGSYdSNTKjmV0="
"What kind of music do you like?","sChPkmXR6GDZWysXDB394L8gL63eqV7lOQ8ZW1tqHMw="
"What are your plans for the weekend?","UmaZUeZqTvYpYnPDGl7dLNQfITJX0xlrTz0rD1/QmbdMh5up5IDXNw=="
"Do you like reading books?","oUhptg0A6Fdx8jvTlxdZ+TMTPsQo5T2ch83hIfBuOdc="
"Have you tried the new restaurant?","s2flWEYgwT+H4FG78daogt9nH+OXMqhIvzE+UnzCuqxq1grQmwwE6Q=="
"How do you spend your free time?","ZrYTb6Qa7HgJstFet0Hyt+Oht6ZUCFK+RV2kNp3f2JlJh1I1MqOZXQ=="
"What is the best way to get to the airport?","9Kx5bha43J/rtIq5VHT92LzFNzrK9a+K7wUSpYce4AD0U2dp/OJfwUGufbFfZeXy"
"Want to come visit the first site already under way?","cMzPr4yzCzwMEy9ldK+dLyOZxDOjGLuj41CJVufwAMi1kpUwDKX4VtyIP3dLHMuesMcaJ16bkMc="
"Musk is spearheading Trump's government efficiency efforts and will closely advise Trump on spending.","2FZB2ykZvmyt4C3+T7cWcTkC7cthV1/8GkQdVFbbdkydxJhZBrCy+wvj3EL7rWfCD+kakbLG4D+ME/AgLF4h3aX6gle2vgtjI2rLBpMIQnDIqGrQZI5UW+SfHBpz+v9c5QAnbUXC4fA="
"What is AI, how does it work and what can it be used for?","9Kx5bha43J9PO32A0Z3kiMYneh097wdOP39OJ1EBZ7xQzAJTrVvMSOqvm/njP1FKBl+BcJkr+7PPHqsrviTPnA=="
"Mushrooming demand OpenAI has long called for more investment into data centres for AI.","y2fGkVG8Th9CZXy5x2sYp+esfwx5c3i24cDLbAYjv9/k02s+ClI4I0O61l5i70L7pV6+Wlr+Ou7zKvUwplNQEOU9jtxqhWKpz0wMr5n28MlClfFOMIy1Jg=="
"HELIOS was also designed to disrupt the intelligence and reconnaissance sensors on enemy vessels.","Ub8ITQrD5uE0gKSnpQYCSpFsj9dPerhcLRx2N7rNaAqYhZ9Cej/xFffuB258JTj6XtvmpSEIgOUn7jWCxvo59BQmqzLP+KWipBV+jkZWU74T37G2zy4qpeLAt8ibX9L2SwCJaV7wSSY="
"The US Navy conducted the first tests of its drone-kill laser weapon","DYTddUrA+B84PTVYlahEx0PRn6cr9LQt3K6JiYaP9GNn8AN429OwLBj78n34YKNK8BAJArv6QbPa1I+m7fRG0R+ASNOUfeLk"
"Free IELTS Master Class - MSc In Supply Chain Management - Check Eligibility For Free","S6+/qLy9oD42D8z/QuY3D+zMhBvnK3G7xWjkPdXdKpSPNG2tr1ywGXD9u9EA50dK7+4ZhA653UxV59gow/cBJL7Np2Z/YCv/9St2mYcdahVgdnjqVr7awg=="
"The US Center for Countermeasures (CCM) released details on the testing, SWNS reported.","qjXh5PItWHz01sSqOa3bogVfF/VJTyVCTm3F8EezyhraLfGV4tI8IBZpL54SPJeshqDYasfHXbj2woDliJU2aEp3IsU+Xzs+kvyVcOrn65p4LJ6jB5ZRyg=="
"'Image a thousand of these things coming over the horizon right at you,' Andreessen said.","9VjyrM5oRVmDrXv5ksVPYNEExQ8zere4/q6pRMnjr9yHuiqpWMCu3QApP8OZdtVQ1CWVBn5RlmCnmuXG91yenvgZ5sDpJjSE4a4OhK2siJn2A+CSK/ALwUsAiWle8Ekm"
"'Part of it is simply the speed of processing,' Andreessen explained.","6xHT9OMa9xYNwzNguVkJ8cnJJUWvxCn0j2mW6kjwiFMBx4wmUt5oenqYmWwIWEl7Nex6LIpJHtRFljA688X8/mrAEf43CWK9"
"—There are certain matters, such as a bird’s song, its time of migration, etc.","vwp3RFmwGd/4YLl43ZgpdvUFLfpajbzIqPY+vThQC4qw7YVkfAhMKqGxTmITx5o3yy7NiU/pYVFG3E6LevY876Sv6cCWvIE5BbfgaxfhLW3ex1SaVoWwhQ=="
", lined with finer materials,” we have a faithful delineation of the nest itself.","mI0Dg3EbQFwfYectV0pXKe/2RKMK3je3vRC2UZ5EP0QqLRLt7HIVh7KpExzi5SEcSAfQcbPQwpFg44AYe8HlZ+T2aRjlPSJJT15QbaGNQfDvtBrfDpPrRA=="
"From Wild Life at Home, how to Study and Photograph It, by R.","5zjrNsfgaXmlI07ShaACaVznIiq+ebERFVSuwHZiWWnIhr4SPb+GPCtTXJY2mU7Rrfc69eCTAQxRE5VBlxlsOw=="
"In this type of camera two lenses of equal foci are employed.","F94AF8VveJ24GMuxnBgJirirCVCwwDWh+OgINdtOEk/A58vldy16kgS91oaQMJDHGf3Cnp+5axfXIS7/Aqx7Eg=="
"They are set one above the other in bellows, which move as one.","/59ndD38vtxeJQiRup7NgpicexoUi9yy1NCM0W5AkwOJ+lV24tFlABL8+7P9hwyaigAH2mAUEL6Gn0kUvrcPpQ=="
"For several years I have used a “Victor” lens, sold with the “Premo” long-focus camera.","RTRj67djrwWVzOs0JxbxBfPu50y3MUh1VD6N5SAKbse6tyxJZ2Zurk99foUKpaI0yF97kZWLfWoGO6R4G43A8fMhN2pAQoHq4iAjbNVAlTgOo+ENN89TjgHDDpPG+ihT"
"When the conditions are favorable and the subject not extremely difficult it yields satisfactory results.","IWy1HWvjJJyEzWcFR186jdQEVE2flU3wIiC0cNXpcINK7OCkodnGtr3f51q0R4pN1o5fb2h8M2fFp0uBJdbwS7dbZnYTJW767ne9tGDfwTRU16BPrHDui19KUKkHEHHsqak/eU9pT/NLAIlpXvBJJg=="
"These lenses are of the highest grade, and consequently expensive.","NqJI+GAcmFIZ06dTWY5IEk3bxOgg+7wcTs3uepiDCMzZbpmbpp4KsOoVBEmunBotxEjcJmhcOAD3O4I6ph89azb/ExafDC6/"
"8, time ¹⁄₂₅ second; second,4 fourteen-inch front lens of the combination, stop F.","cAHHvsmbWwM09V/dyhbPl69/g7MyG4/HSFRlc+hgUu/9eiVE2p/b0nDpdQkzccJK/NQwysTNA8DRJVpXO9cUd2c5oHOwh29Iyld7BwMw18z4w6Cdd2TDWEsAiWle8Ekm"
"4 of the eight-inch); third,6 telephoto attachment with eight-inch lens, twenty-one-inch bellows, stop F.","t/RHyJRL5tjTALsdEOzjJlGXZEjdhy0ty/OIu7YoGD4TZ/cSO1zSe45ft5aQ6C6UDKnxFMCkQO/1kP6y0x2n6QTRn5/2pIpOc18jK1FubnjASrrFDVR2/0YUVhHSt5/l+MOgnXdkw1hLAIlpXvBJJg=="
"8; twenty-one-inch bellows; one second (½ second was later found to be full time).","GHUP6E8lpwXzNAlAxo+ZAx4T7QbhMZGssqjPHnVQXQpBwuBnGn7mtlXHw6OkPv48Z8wOHJmS8z74gGXwClHzJevDJQoNvFtxgD4a2WunYp8ppR7u5/JJ/Q=="
"Simplicity and noiselessness are the chief requirements in this kind of a shutter.","pEpSrEgn/bKBeKTUwDqFxJ8GWO3mp3j8lJMJMRqTSjJlBOT9wkaS4GMUFQ+929JKQhWFD97OLYXpYNBagTl3Eyc1a+MYd1EezRFcfYTOV8nYd26CODBJzQ=="
"With any length of over twenty-five feet an extra large bulb is required.","TEqbUHJp5UPW1xXPPQhZ/I7t2RUMWQqqBYLkH2ajmU39ogi1vrT7mPh/WQCPkmWbZxe2YmpQ+Fa2tKFZdXtGctCvJllgApmVSwCJaV7wSSY="
"The frame should therefore be collapsible in order that it may be easily packed.","eikZnfGYy4AYj52s67WwbJsXbGE6p6bInacMrPiNW3Gsy+3FXM4xjoDaPrsHMmjjT2+0guKKJ4jX5hAW5meNgUNBcvfA8y8OHLxtkDgFWBlJh1I1MqOZXQ=="
"” Doubtless cornstalks 24properly arranged would make an excellent field blind.","31JdYSFZHTIGnaCytn6PTlgn4/RWw+55CXd2JX3rAUTqr/KlvaQ3M64Nfz9hh5QKwS05MBSCUbEc7N1w+f6IqA0tObp9hyqMO+04i+IrF6JLAIlpXvBJJg=="
"It is difficult to carry one of these blinds in addition to a camera, etc.","vMy5mdQulbcSMCu27ADNjDzq6/LJdYWLw/rst+LUXKptJVUIODckU4MMZrFxpl9CCxXhKLvKG9mm1pwTOPz9BKC9PYl471BZ3sdUmlaFsIU="
"The latter should be of plate glass, and measure at least twelve by ten inches.","eF8VSF0BD2TX4sNMW9jw/ubi5ntrb+U2V7Js/4rIeEauJlNdeW1bApPf8UoJfhakDYGZFPsRbbNnQw8KgiHocZZ3bguJIsMPnZPfBVeh1V8="
"An apparatus connected with an automatically fired flash-light, has been employed by Mr.","D2utApKjjBRX9MmkcgILBPcWjruSXSNCon25DtG0hnHTubB9/MHyO6DrZjwKyISyUlD+PKXJUiQHhVX64TAIuQXjYRtIrBHVsMsAKN/WrTjQeIWyiLJLHkmHUjUyo5ld"
"Shiras, of Pittsburg, in photographing deer at night, with phenomenal success.","UuJ8LqbwMNeJ5KxH4oBYrgYYWPUNrGl8TToTY4BOJhB1k9R6NeEZxTNFsKMDHfbdP1vzW9d0hyV8IU7vAxksFP8qgriY290yvJUIyzd3vwU="
"Some common types of pollution include air pollution, water pollution, and soil pollution.","AYQUeu1goJYr59RfYZsfq/CdZNeFiEG3dZie9v+2rW79gFk/76RVFgNeAMCxXq6x1V88y0Vdd9uFaYfVZCuOyUM0Q8JKnH457nRrp2TgETC/dYye1+YQWOr9/sQt1Gpp"
"Pollution is a key issue that has been affecting our earth.","cHTnvMZesFnvHKTHMBf9EB/vkM/orCx9TVOY9Q3THZOMTjQ3WiPf9x8GtBhOsA7hH4T2O+LTOTTQC6CarvVjdA=="
"Several natural processes and cycles get disturbed due to this.","lWgfSMcLvdHhw+nuKJxnDh1vk7wvI8aE2Y6Y9t7DigsaN30YjphM4Yr3vuQkpr6bxnwr+n51FdVKCX72pCAtQA=="
"Not only that, many flora and fauna today either have gone extinct or are endangered.","dAgEUYnUjgwB5hNn91jxIMrwAcdWbTlzfxXyP3rdQiAxCWqhGMAw0hjRNMpg0ZRdiH9/VhvzrEBzJZr3NiMTjgix9OgrOJZ3ejEE09eDILuVG87f+8cnVQ=="
"Now it’s time that the administration of these cities prepares strategies to check these issues.","QjZXnODpFb1eXEoE6MY9KV69exGuc+cEz2FXD5QZlRFJbkfsp7V+iaO2p806AlD5I5nPx8LbwO1rAYsUIH3Uc1kKRY8QON0kOhR/QQKftVUrguUpniWuPhmmMqKuSGKZuzDfM6+L6FU="
"Let’s discuss the all the Pollution types one by one:","nKggvC/Zsg5Oq2YfqPYtE6YHs+x9X00CsHwns6ORA5c84kTRESUWPxtwFyVA/Q698s01QGIMdZs="
"In general, air pollution is caused by the release of harmful substances into the air.","TUoC1+leNDKTcP2k220mCr91jJ7X5hBYV94LXGb85yMVmPdxYk5WL4rxgnxfaaY1isiGGW+3YHed8hcnszTd9ws40/T7e2P10pR4yibQ217DTGGbAqx/kw=="
"a) Emissions from vehicles, such as cars, trucks, and buses","L+85T8j/Bg+4EEvzSZYJRQbTW/xW4sjH0BgboieZNgyS4z8zIVUqJdidZB/DGONdjdJJUzm5wHEoEsBRrayv+Q=="
"c) Agricultural practices, such as the use of pesticides and fertilizers","4SSo0fp63mgrRGTUOUnAa9gq6POVaORvonBWKTLN5BmekrRN3Qrnncp9A/KZtNQYwuJR3T4aGzP6RrTZDEOhMgNxi+YV9amoSYdSNTKjmV0="
"d) Household products, such as cleaning supplies and personal care items","ClU7m+AQG47a0lDzDgqFFrs+raoQM/1FAgWEMljFk3Q+ZFlImtq4UnSx3Wa0QQY87WgOyyagXlunXcTnwxEaQYLuxfieewLlSYdSNTKjmV0="
"Oil spills can have serious negative impacts on the quality of water.","QP1OmT3/aQmp+pZ/nM9ouGyAEUBf7VfqAeWlkn5ltJZH4XFtj2qFLmPJWybfUGFKZMl8Lsdt4JbVxKsT7BPnCUcTClzsS6m3"
"Nowadays, several urban areas are facing unwanted glares in excess amounts.","UgfDGLVoZavnR7hGih9BpCeEr0mkCuQbLtpv44zGttdbYSIqBtcTPlPKpmsZF79xIFv6kFGNpGt3G3ghakiRhPYoACIKsDj2dX4uiD8S2f4="
"Once it enters the earth’s atmosphere, eventually spreading across the globe.","Wz8dM8/H9QIJc/qXmkjn0uCCXCKYFfUdA49snLlkakUPrzkpDA5q/yuzhXUBVi/Sg2My46tQS9WVPobifcD2nAT4Y3gK+2WAjWOJPt3ThqM="
"It also ordered the closure of several coal-based industries in Gujarat that caused air pollution.","CSTFApd35Uov+4dZaleZ3O/URgOWJiXdC+Ukfcmaii5hkarWtzSHvwvuP1ep0YZe5aDS3wpxn41XBbUGxadB/o0Bg+FguobO9KDKQSF5csjQkI26avZ7sL91jJ7X5hBY6v3+xC3Uamk="
"Other sources of alternative energy are biofuels, Wind Energy, Hydroelectric energy, etc.","2MuahcajeoXV/AZAVPlJZGrjeS7PU21dVddABKPKsThXDMPMvqnQT4GEeh8it4+ZO9nQWxkZB6X22BpCmtUFk/r5JYHHVrDO2ZCybAC+0KMs2xNZn3aGsUsAiWle8Ekm"
"Similarly, the particulate matter emissions will come down by 80% in cars.","+n+IqGs58BNNyP3t1PgcMxU+NmZ0R3A5J8lEoSJtvSADFB6tjV/F+OEmncqza+hVrY99u0FAMTa84czEbfVaHKdN2SQqrNICuzDfM6+L6FU="
"Few of the important ways to curb all kinds of pollution are:","8TBdSVPAIuTkrTD/DHMATJuKWN6K9ZPMlJytcWBm+mWC5V/QHDTt2AF8+xw7FVHW0CpftBhNxU7AyglOAHP/3Q=="
"Limit the Use of vehicles: Vehicles are a major cause of pollution.","KxMP5tg0Cb8kWra1Cwkw41XXh0ANEm6PRC5RF2IAEYYQB7zg1ddW/mUvnbopYvW7ymi3LxMkur2f6u+11kaHjD9nBCodHew2"
"If possible, try to substitute them with electric vehicles for personal use.","b0fAcvGB2uPm7FkN3y+2k11fqvOiv+l492TxcjBKIia7Q+FM66L4EAS9Fs/s5jUE7eI/euW4H+E6zAXykgsQi0ct4/pDLIpqUYTXzQjhoT8="
"Use public transportation or carpool can help to reduce air pollution caused by vehicle emissions.","6QabPmpxzZEHJRWoAdmVwKsEHgYVpNglq4sWyOXj9Do0IeQKNaxMvW3NWfKSjDk5EKlTKfGMG/F/n81iR0d2e37FiXL7Ju7HIp5uneSrnIa7t4ipCgh4YBjm4GupsFXHuzDfM6+L6FU="
"We should dump the waste instead of throwing it here and there.","IreYgcZU+OGMHTxZwMUtdmr57u9eQZ7tvMpKTWOBVzp8hrZmav8nieFcx7qWzzez2QPFctOp1LKByxJfkv9ksQ=="
"We need to either dispose of it properly or donate it for recycling.","BN/UCpLAEoZV6xAqlPydCTyzpnRKly1Yoj7TNuAKjAgD4lB3YHDrojsM8F+xM3YDJYOOJT5fVrP60WwLlM9BKBxPbht4qneD"
"has led to an increase in different kinds of pollution.","Zqah8yV5uuvbu15k4qMk9nOPMd4YE+PbhE3tQgVoQK7hVK5NLy3M7/CdZNeFiEG3nTaaihXN+fQ="
"Plants absorb harmful gases such as carbon monoxide and carbon dioxide, etc.","nwbWb+n4qqCuZX/RW7N65/I3w0E6x+UTOqDdOgjlO9m38exfJPGt3whRa0wvOdmxwo7j9jrQVnp89ejQ1C3w4h1Jo72/sNcJCxcRDNohS0U="
"It is important that we follow the suggested measures to curb this issue.","5gkOB7MLkAAL9l7c76fgTqL5ZzY10Ig1y8UMfj9QfBkDT8rIX6VQPgaXQj1dGZxh4r0+KeM/XouIQQi72RrafN37QkVcwFvfSwCJaV7wSSY="
"Its our responsibility to make our place a better place for living.","ZD5IWDrqE8zUroWFUkFYAZ8Ui/m2/7yMeCLfSc/q8PFO/5taseUeXzUaEWVOqIZ9FQW+0X9I4N38yKyqAZCVQqXUZ5ddKLb0"
"In order to make the Earth survive, we have to stop polluting it.","vxkDTZrl5zCJCX9V6GLvWw0vD73GQ8CnaSyc2PR5MrlMB3tLiHGUdSLn6j0+2D+vt2IlNB0z5BFpjIYeqnUCEUsAiWle8Ekm"
"Hard work and persistence always lead to success, no matter the obstacles.","oPzPn1iOVJVJDTi4l6+oIk7P++5nddNRfoH3hrmMac1RE7f2fiCin2UxS7PnhOYmulmYgw62DH9LlQBsLYA9mGxgBYjmgW7FuzDfM6+L6FU="
"Every great achievement starts with a small step toward an uncertain goal.","ptKWC+sWg1fJE+sGFS5bmxZVDHmhzg/VnxlpcsevmQhc35sf0LMGQXkAsDwxl0B7GFGOtObE12dr60rB/IiOw5ZYu2t9az3dhvxv+ZGXNfQ="
"True happiness comes from within, not from external circumstances or possessions.","Clp5OIqn9uGEwqqMcOqY6tniiV82DUEVDyOm3tCbyYKRxlTnushAROYtIca41O+584TGUYCq0It5gCHw/v/jGOJexasjjheNYWEjNlB0vtdLAIlpXvBJJg=="
"Dreams remain dreams unless you take action to bring them to life.","tASz0c58k3uny3YW9dhwOfXJ93ogPL2jHqZHFLaSQlRI2crUaqqo7H46/g+0wCi9UUq+YuMPNKU2JDm8Aev/9zb/ExafDC6/"
"Time is the most valuable resource; spend it wisely on things that matter.","my/U6tbD9CFRwhsYwYW805oYtdzW11KlpY20JW8/CYaW19em/grzSiSxh47sG5mxQmXbLzjfI1XVCeGDZFjs24/svbvnO6l92HdugjgwSc0="
"A positive mindset can transform failures into valuable lessons for future success.","+fv0/4zz/lO3QRMEbsjITqNHyQSX6MZGUFxvzj6cDqpzHt9GfpBAYl4wwSsOHu268IIUKPHXgjlSQXQ2FRAuRCOEOyjV0wiRUlGO6s7aQe8NJSRxe/WcFQ=="
"Learning never stops, no matter how much you think you already know.","cQ1Agld+DIs2uvCzeTn/phoKkmlGdKKvrafkdOLZKooHhhC6OGPYEGfE2T6mXBdF2plGLv3H7Ve1J/OzHZeP5pDofqBqXyPw"
"Success is not final, and failure is not fatal—keep pushing forward.","IhY0UIW85RZQ1gXtgSTUl0so7wnMn4AdRuAC/EjNNknoTb2eDCWAMmNIjZ8kuhZ19zTuzDYgQRyo+bwnGMOXuyETTNU51YAW"
"The key to growth lies in stepping outside your comfort zone.","ZXUb1B+hLfKiuUPNwCLW5KarWPc+BJmlgDfWtJsoSaEJ2XQcGRsgFMnmxyuqKpztMYI/QnMDpTOjYM/v9McBFQ=="
"Life is unpredictable, so embrace change and make the best of it.","3Upb3gy3x9/Xn0+lL4ifQESDeG7sWlQUNKTpVDHbD7oiEsMjeiN763k4f5IFXWaR0GzKiMrz21AflAf1hjmoQksAiWle8Ekm"
"Your attitude determines your direction, more than any external factor ever will.","/idlEFvetEI9i/4dE/36PTlKFjFKoOhqzuxldyM3rXx6vzx8SZYEFPuy5/lQzJWLNSjrMjUxJcHbPtLekUfy6wvFxzTwlrVbI4HIupPG8ehLAIlpXvBJJg=="
"Small consistent efforts always lead to significant results over time.","2LH5glpxEyj9Q3L7YpfcZ4GwrYFfb8l+HcsMz753doBJ7t4sKRzPSWUQVP70m5K5OyXSk8aWi8tZKKDkcIdyfSZJb5ejsuoG"
"The best way to predict the future is to create it yourself.","L+wt47AmmiK8xTc6yvWviu6HlKv0GyUH/+IbNlmGYtwxOWwumigJz6+hFjv6yQDuJHbhEbHWo2judNQrvfi6NA=="
"Knowledge is power, but wisdom is knowing how to use it.","l7FPUUgsG7THfmGiNGra/KzKUj62pUuiTbeQl4oysJNAgKSvBvfCSSuoF2T7rU6UJ7xyl4+H3qRJh1I1MqOZXQ=="
"A grateful heart finds joy in the smallest everyday moments.","UHB0qjeqMBkziEuj/4WAik+0UjokljXsKa5sGqvVahX7pUKbot0FHi6izP/FLldLoUiaI8lOQD24iKP/Yr2dqw=="
"Challenges are opportunities in disguise, waiting for you to uncover them.","gv1t43/ZOc7laQCSrH8xGyu1brezMF4/Z3hucddbou7G/GYahi5QmfZ+icX4WNqxUMKguqduPSVsyVtqX7H06gluxCG8ronYItVsIkEPMyo="
"Actions speak louder than words, so let your efforts define you.","c7GEZNcxTwUx3zwcU4lHKHU74pQtIMJ4Z56Z44ZJ+uuu4qWbSXT67le0f68tqOrozh98Hgselcy8jWJmcL7rxUmHUjUyo5ld"
"The journey is more important than the destination—enjoy every step.","R9ND8xiex90LkFlVxgm628iEY0uVwH4wPuBvny0FFCs046pEEA75EfAYdZ2fU3f8zUfe5f5YjMm7WKxlemvzn2LbwbpXueNL"
"Your thoughts shape your reality, so choose them wisely every day.","8yvhpGG9dQ7oxM4K7F/CksQ7iihTnSn3gFhJxQcezGiywjxhbq8jaMMBM0yqt5o7nK4RgMZpjKssmmZyr0q7UBqt7OSPOYsM"
"Every setback carries the seed of an even greater comeback.","l2ynYofTrssKJbUrZJbXNgUpV4qZQXuKt2S6icWYYdDrOVuUDaGY9Sor++ZgS90W/y4kEot6x92bz8yHyPeIsw=="
"Confidence comes from preparation, experience, and believing in your own abilities.","J6fKwSjRS64gZax/qfxt049bEZsn06lKIR4j97UtxNMuosmj2PpTHHdCNY2PuxEIn/zhKmPjRmW63Zf0OD2UUTBGK1ji5ua86L47VMjc+9DLYgzmxMi/jQ=="
"Nothing worth having comes easy, but the struggle makes it worthwhile.","eu1qnJivzd2uIvJowGdpEZ8kPUvI19s80jQm4NsTQMImlc/Tuc5CsEN3bpPiUZ4I6hQZoflzUPjNx0HeyB3kjfQyOXlrmmVp"
"Focus on progress, not perfection, and you'll always keep moving forward.","h9aoAqYBUIRug8tbCFxc8zL2HiEB8N3nXNGwe2nrktURpXv2Zx9kPLHghdFQDADH53k8J0wCZTqNiZbKiwh2Pq+vpzOE0GiOSwCJaV7wSSY="
"You are stronger than you think, and more capable than you know.","//a6aFACOzvGSKRe6+aZS1wu7Ez3UHLlLO+5of8PKc22El8ohaXBjmYk+qwyvWzDVk+YO3E5bxWjuyU4JWk1mUmHUjUyo5ld"
"A single act of kindness can create ripples of positivity everywhere.","5ktZK/SNVz2vyMPq8+lywEmSI4c9LIwX6UN4zDBmeLwl0UoLN4fxeBKT68d01xwptiNpocHXZYVMQBf98PllZaWJPntkMVpP"
"Discipline is the bridge between goals and the success you desire.","MvhAatT0zJqMnWzWFIs3v9thdrOK1bGdPVQwmiFp+jwRfbaVVylk4Dgkw4WGilciVvVyDik9KWvoivBCiGPhFzb/ExafDC6/"
"Creativity thrives in an open mind that dares to explore possibilities.","/Rp2/QoPw3V8+EQ2TRPeKhYgswFO45b9ZgfLB5muHMlIdzlb99t2likns/JLj7XlZ94OXL7EgDCplsxLkFNpt+LzN3GoExv4"
"Great things never come from comfort zones—dare to challenge yourself.","xjmwohM1h1UwKHdhsD+C3XVTw+GRqJ5mfuNz36S8AM5+KMPiYNY5k7Ts5aYReUFpS5zlFvKveUFzkB4QVUohlslwHsBClFXlSYdSNTKjmV0="
"In the end, memories matter more than money or material possessions.","CXjQNgAfy2sGgpm70q2y328HlxFqmfpzyv3QkHi0N+bR7RnQLvYDMn1Bw/PDbd84x9yaAYBjtdEMKg7KVh+peQ3vkBfuYd++"
"Every problem has a solution; sometimes, you just need a new perspective.","Wg/fA7Fjrb0hbjJhoQfq8Aq1dJDOiDSX7AQnFqawM5PFPXMcVpMSsjygVeQ9VuELzXyP3aM7bl/MEoZ8GefzkKQyvL13nzZSSwCJaV7wSSY="
"A setback is a setup for an even greater comeback story.","2rLDUnHptATM3ItaRAvUjAH1aIwG8IOj8Pa2mnX6Fl7NuRA1lA0cJchLQz43HquZPfB1b0FGQHxJh1I1MqOZXQ=="
"Failure is simply the tuition you pay for valuable life lessons.","C/0uPg1Ahcwzo1EZU9K4h7aTQIjH9F8b573XazssCGrqqRdsSK8FzfcR3SkEGOqqPDToU4D/00o7oAl2vk0olkmHUjUyo5ld"
"Don't compare your journey with others; focus on your own growth.","5aLsRyGoxZmHc/91kLXCwl+sgNSQXWqT8qcaYcl7BJYmLHMP55zwelnWyPou5GRoDf4jAQzhHJtajRFwKRQ030sAiWle8Ekm"
"The world belongs to those who take action, not just those who dream.","4CqooQKNMwudR0s8JUr3lIHQA1m/ikRAzEbHMar3C9xSH17MG1SS396QTRk1suGjfEp6miqR0XLBcGzO94dnILwB3odXtDZG"
