"Strings","ECC_signed"
"I believe you are right.","b'0D\x02 L\x0f*m\x92~\x85\xda\xffZ1\xc4\xcf\xc7\x03\x87\x90\xcfi\x84y\xf0\xdc\x93\x15\xc9\xb8\xee\xe9\xf4-\xa5\x02 {\x12\xef\xd2\x05\xb2M\xe5\xf28\xab\xe8\r\\W\x90\x04\x01\xb6\x9b\xe9G\xf8\xaf[h\x8c\xf8?\x89\xb6\x8b'"
"In my opinion, it’s okay.","b'0D\x02 \x1cdH\xd8\xb7oq3\xc4^{\xe4\xa2 \xd6T\xe5\xa7_\x01\xce\xb8E\xfa\xc2\x8c!=\xb3\xc3\xfa,\x02 \x16\x05\xf5\xdbL\xac3 \xf0\x15\xb3%\x80\xc0\x13\xb4\xdf\x98{$C\x15\x95\xd6\x00%\x04c\xe6)\xe7L'"
"I feel this is important.","b'0D\x02 HB\xa0)\xfe\x8c\xa6\xb1_\xc0\xac-\x82p\xb2]\xb4*\x1d\xbd\x1f\xf4\xfa\x04\x80\x9a=%L)\xf1V\x02 G\r0\xd5\xa1:\x80L\xdf \x84\x18_&\xfe\x15w\xb6\x1f\xbc\x98\x88\x1b\xc5+\xfb\xbc\xd6\xd4\xa6\xfb\xd7'"
"I think we should try.","b'0E\x02 n\xc1o\xa8\xa3\xf1*\xc1]\xea\xf5\xdd\x9d\xec\x9c/\xa1\x84""n](\x86\x1f""\xee\x1f_\xa6\xbd\xcdC\x02!\x00\xea\xdc\x02O\x025\x02\x04\x1d\x07\xfc\xbe\xfc4\x9cL\xf5\xa0:\xec\xe9\x8e\xa5Z\xd4\xe0\xa6\x8b\xd65\x0c\xa5'"
"I am not sure about this.","b""0E\x02!\x00\x94\x9a\xeb\xd95\xf3\xc4\xce>@\x8d\xfeP'\xf8F\x89\x97\x9bG}\xaa\x1aY\x7f/\xe6\x91\xf2\xd7W\xc0\x02 S*\x81\xc5\xf9aV\xa6\xfc\xf2\x9b\xae\x00\x1c\xd2\\\x19x\x9a\xc4\xf3\x1f$g\x171zG\x1e\x94 \xf4"""
"I think this is a bad idea.","b'0E\x02!\x00\xf6\t\xe2\xfd\x93\x07\xc5\xb7\xb3a\x84X<8L\xe3O""B\x16\\Z\xa6\x0e?\n\x9d\x17h\xae\xa5t\x02 \x08\xb6\xce\x96\xc6\xbe\x81\xed\xe7\\\xa8\xb2k\xec)s\xc2\xfb\x95\x97\xbe\xe9\xa9\\\xf5r\x08\xd8\xa2\xf4\x89\xca'"
"I feel good about this.","b'0E\x02!\x00\x9e@\xb8W\xff\x0bZLp\xa3\x14hS\x03\x8a\xefd\x07S\xe0:\xec\x86\xf0u\x89\x10<L\x9e\x06\xc9\x02 >\x1c\x92N\xe6NcS\x07\xea\x16&Kl\x07\\\x1a\xfe\xe4\x12\xbb\xb6s\xde\x1b\xb7\x1ap\x07~a{'"
"I think we can do better.","b'0E\x02!\x00\xde\x9c\t\x83\xe5\xfd\x9e\xb1\x02\xb4CeM\xc9\xbdC\xe7\x11\xb9\xb2\x86\x97\x93\xa1N\x15\xe3\xca\x97\x0b\x0f\xf0\x02 Vf\xd0H(R~\x80\xd7\xb3\x9a\xdc\xa4x\x1fH\t\x9a\xee\x17p>J\xce\xbc\xdfM\x91t\x10;I'"
"I am not a fan of this.","b'0F\x02!\x00\xa9/\xde\x82\x15\xb8V\xfe\x97[\x82\xb4\x9a\xd1\x8d\x82i\x8a\x9c\xf0\xa5dk\xb0b\x1c\xd3g\x87\xd0vb\x02!\x00\x803Q\x80Z\x15\xa0[\xbe\x9c\x18\xfe\x80\x1d\xd3\xca*\x18\xf1\x90\xd6\x84\x85\xdc\xa1^\xec\x8d\xb9\x1b\xf7\x1c'"
"Could you please pass the salt?","b'0D\x02 )\xf57\x9c\xa5[\xa4\xb6\xc19\xa4{/ \xbe\xfcUV\x8c\xe3\xb0\xf0\x1a2\x8e|\x06\xb9\xd3\x88\xedK\x02 :\xc3\xd0zzPd\x07t\x95\xc6\xd2W\xf3\xf79\t\xdeq\n\x95\xb0\x02\xe3\xe5xy\xd9\xe1f\x17\xf1'"
"May I borrow your pen?","b'0E\x02 b,\xcc\x9d{,\x83\x1aj\xcdjn\xc6\xc1\xb2\x9fW\xf4\x0c\xc6<\xc3\xee\x12H\xca\x05e\xd6\xcb%[\x02!\x00\xf9\x13G\xf26\xb0\x0e\xa3n\x8b\x9ao\xe0\xcc\xdf\xbb\xc1\xb5\xce\xc4!s\xcbM\x90\x13\x8a\xda\x01\xcc\xc6\xb1'"
"Can I have a glass of water?","b'0F\x02!\x00\xc9\x82\x8e\x10,\x81$;}I_u\xc4\xd8\xf8A\xa1g8\xccg^\xd3\xa0\x80\xe2\x04\x1et\x02T\x03\x02!\x00\x88d\xe9*\x94\x9c\xbdg\xb1T\x0b\x99\x930\x91Yj\xf4\xa0.\xcf\xea\xecu;\xac\x1f\xb1\r\xb2\xd5e'"
"Can you turn on the light?","b""0E\x02!\x00\xb6\xbc\xcf\xcd\x04\xf3;\xd4\xe1\x10\x93\xc7\x8dE>g[O\x1e\xcc\x7f\x96\xdfzt\xe9\xff0\xa0\x1d#\xd2\x02 ;\x8a\xfd!\x89\x9b(\xf0\tY\xdc\xfeYkZ\xa87\xe6\x04~\x8a\xd6\x1f\xd1G\x06\xfa8~'\x0c}"""
"Could you close the door?","b""0F\x02!\x00\x94\xdd\xa2\xa8\xa4Wj7%\x8d\xef'L\xc6t\xd3\x99\x9f\x02t7\x1a\xe1\xcd\xe6\xbdF\xf2.m\xe2|\x02!\x00\xc4\xbd\x84},e\x81\x14%AOB\x17]q\xf7L\xf3A\xca\x8a\xd3\x98P\x84Y\xcfJ\xca\xc1T\x15"""
"Please lend me your book.","b""0E\x02!\x00\xb6vR3d\xbe\xf4*M\xc9\xba\xe0\xcd\xe8\xb4\xb3\xa3+y\x89\n\x7f\xdeuw\xd9P\x15>\x12lh\x02 ;\xf6\xa7O\x8a\xfd\xf9&}M\x8fu\xb0\x9d/&\x83\t\xb1\xe1\xa3%</\x88(S\x13\x93'\x83F"""
"Can you show me the way?","b""0F\x02!\x00\xb7'\x11\x9cr\xd3\xbcts\x98}Bt\x8c(\xd0d\x96\xf6\xaaP\xd8\xe2\xa5\x00.]i|>\xdc\xb3\x02!\x00\xbf\x8eB\xca\xdc\x9f\x0f\x81.hU\xb9\xcf\xbdM\xf0\\\xb82\xc1\xddM\xf3\xef\x8c{\x9a\xba\x9ee\xec\xe6"""
"May I ask a question?","b'0F\x02!\x00\xe9\xd6\xa0\x17\xa7p~\xc6\x04\xb78W\xe8\xef\xb3\x86\xd2q\x1d\xd1\xa7g\xc8\xc1b\xc4\x19\xb7\xce0\x07\x07\x02!\x00\xa3i\xfdj3Gx[\xbf\xda>y\xed\x13\xa9\x063\xe4M\x93\x16E#\x1e\x996iO\x01\x0b}e'"
"Could you speak more slowly?","b""0F\x02!\x00\x93\x9en'\x96\x8f\x12\x17\xdd%'\x0e\x83\xd8\xab\xb4\xc3*.\x952\t\n-Z\xd8\xed\nZ\x00\x0c\xb6\x02!\x00\x91Atpo\xa4G\x0c\xb0L!\x05!\xc7#\x9b]\xda\xe8\x87\xcf\x96\xb8\t#a\xcb\x05l\xe7\x9dO"""
"May I use your phone?","b'0E\x02 z\xca\\d\xa7?\xf3\xd9\xc4{\xf8\xe9\x87""2\xddS\xa0\x9ala\xd3\xc0\xc1NH\x10\xf44Y\xb7\xda\x02!\x00\xd3@\xd9Ko(\xb6\xf9\xcf1\xdc<\x02$f\xe8\xab\xb2$\xf0\x19T\xde\t\xafE\xc6\xdfD\xa9\xa4\x18'"
"Could you help me with this?","b'0F\x02!\x00\xaa\xb6\xe0,qE\xb3sm<\xc8\xf0k\x0f\x8e\x1c\x87(\xda\xb71\xdc\xb7\xe4\xd5\r\x1fMUt\x08\xee\x02!\x00\x9b{\xc7\xf7k\x00\xc8\xda\\ 7\xd3\x12\x08\xfd\xb6O\xdf\x931t=\x13\xdf3m\xaf\xdb\xeb\x10\xe5\xdc'"
"Please tell me the time.","b'0E\x02 \x138\x0ck\x81m\xf2/mC\xa9\xf0h/\xfeH\xf2iN=!\xe1\xa9W\xedD\x9fJ8bT\x17\x02!\x00\xe2\x1c\xdc\x11\x05Lh`\xd9KLk8\xe2\xc5\xea]\x89\xc0\x1f/\xf7\x97\xe9\x02\xf1\xa2\xf9\xb0\xde\xf2\xe8'"
"Can you give me a ride?","b'0E\x02!\x00\x86\xe7\x1a\xfe\xdf\xc7N\x93\xe6\xc4O^\xd5\x9b\x97\xce{\x01A\xe7\xa3D\xadF8\x1a&\x9b,\n\x18-\x02 \x01Z\x08\xa6\x81\xc0\xd2\xff\xb5D\tX\x05\x9dbk\x97\xda6\x8di\xcd\xa5\xaa>\xf6\xfbY\xa4L\x8d|'"
"Could you explain this to me?","b'0F\x02!\x00\x88\xd9X\x80\xf4\xc4\xac\'\xc8\xc5\x0cn\xb2m\xee!\xd7\xe4\xe2L\x1c\xb6m\xc5\xe0""]\t\xd9e\x7fl\x02!\x00\xdd\x89\xf8\x97\xbf\xc2\xd8fJ\x82M\x18\xfb&\x03a\xf4\xa2\xd9\x9dm\xf2\x0e\x02\x8a\xa5\x85P)\xda\r\xf7'"
"Please turn off the TV.","b'0E\x02!\x00\xf9\x1bQ\xcd\x8cq\xdfh\x1b%\x8d\xc10U\x95\x96\x88\x93\x99p\x05x\' \xa0d\xba\x16\x19`\x9e\x99\x02 4\r\x93Z\xc6`j\x193x\xbb\xc7\xb7G\xa4\x1a\xea\xea\xbc\xce\xa5\xde\xa1""\x1a\x0f\x81G5p\xd6\r'"
"I am sorry for the inconvenience.","b'0E\x02!\x00\x87\xd1\xed\xe14\x84\x03Xa\x8a}wD\xa6\xfb2\xde \xf3\xfd\xd7\xbe\x11\x11d\xf5\x96\xed\xf0\xb0\x14\x1e\x02 7\xbf5\xda_Ty\x06\x19\xb8v\x9bp\x14D\xc0\x16\xa1\xa4\x89Rg\x88\xe2\x04\xe3U\xdcJ\x0c-s'"
"I am sorry I am late.","b'0E\x02!\x00\x82\xc2\xf0\xc7\xb3\xd7\xb1\xd1\x8a\xda-\x91=\xbd\xa8h=\xae0\x1dH\xb59\x02\x98\x96\xf1&\xb5O\x98\x89\x02 g\x15\x80XZ\x94\xdc\t6\x0b}%\x857/\xdb\xb5 \xa8q\xcbb\xa2\x11,\xc0-ECW6\x94'"
"I am sorry for the mistake.","b'0D\x02 4\x02x\xdf\xdcI\x16\x94\x83\x00\x9f@~a\x12m\x06H@\x12\xad\xf0\xf0\xef\xcdU\xd6\xd9\xd6\xed\x97%\x02 K}\xf7\x17z\x05k{\xd3\x13\x10n\xc0\xec\xb1\x828\xa1\xddAd\xd9\xdf\x1f\xdc\xa04iJ\x9b\xe6\x0c'"
"I didn’t mean to hurt you.","b""0E\x02 x%\xf4=9\xf0,9\x0c\xe3\xed\xa4K\x14d,\xf1\x9bx\x81\xbc\x9f\x05`\xf6\xf7X\x1fuw\xd2\xf9\x02!\x00\xb4\n\x1c\xac\x81\xae\xb5\xd0\xa7\x93T\x9f\xaa\x97\x91\xb6;\xfa\xd57'\xa1\x12T\xd0\r\xf9e\xa9{\xb2\xd4"""
"I am sorry for the confusion.","b'0D\x02 CR\xec\xdf\x03\xda\x0e\xdaw\x01M j\xa1\xb7+n{\xe6pQ\xbbk\x0c\x1d\xb4P\xc5\x9c\xa1\x87 \x02 \np\x8a\xc0\x129\x10~\xde\xebXn\x1e\x14\x1a\xc6Rf\xb3/h\xe2<k(\\\xcaX\xa6\x11\xda\xf1'"
"I apologize for any trouble.","b'0E\x02 \x07\x17Y\x8d\x86\x8d\x00\xc6\x97\x13\xf2\xcf\xb3\x90\xf15\x98v\x86\xf6Y\xc8\xef\xfc\x03+q\xa8M\x8c~T\x02!\x00\xd5O\x84)B\xc1\x1b9\xa1\xd2\xf9\xf0\xech\xcb+~\x0e\xf5\x10qE(\xc4\x11\x08`\x81P\x1c\xc1\x94'"
"I am sorry for the misunderstanding.","b'0D\x02 >\x00\xb7\xab\xcc\xc0/\xefS\xd0\x1a\xf3w\xfe\xc9_\xb0\xbeJuS\x04*O\xbc\xfaI\xf4\xf7\xa6yf\x02 }\xca\xa0\x94 \x19zRw\x1f\xc8\x00*\xf7\xc2C\xb1\x90\xdd\xec\xd6\xec\xa2\xb85\x02(\xff\x96\x90\xa4\x7f'"
"I am sorry for being rude.","b""0E\x02 M\xbb\x9e\xc1\xcb\xd9,\xf8\xb5p\x17j*\xd7';\xb8\x9fk+\x16\x83\xdc\xaa\x9746\x1f\x9d\xe2Kj\x02!\x00\xf6\r\x8f\xa9z\xbb\xd6\x0e\xab\xb3h\xaet\xdc\xee\x9f9\xac\xbe\x82\x96&\x94\xf7\x8d\x92p%kA\xe3["""
"I am sorry for the delay.","b'0E\x02 X\xd0P\xb7\x8e,\x1c\x01\x0c\x84\x01\x1eq\xd8\xa3J\xd1\xf6~+1\xe3\x14!\x97\xc0\x92\x89=\x06\xad\x96\x02!\x00\x8d\xc2\xf48+z\xb2#\xadq\x1eH\xe8\x08\x17X_\xbfko\x1aL\xc5S\xf7}\xd7$\xde\xbcsj'"
"I didn’t mean to offend you.","b'0F\x02!\x00\xe7\xfb\x81\x9bVa\xda\xc6z\x94\x0e={1\x94\xa5\x13li|\x8bF\xe9:\x9cQF\xb7\x10\x10\xfa:\x02!\x00\xbe\xb98M\x06v\x11\xecg\xf73{y)F\x112\xdb\xec\xec`jsn\x8e\x1d\xd9*\xe9\xfc`\xb8'"
"You ought to see a doctor.","b'0F\x02!\x00\xb3\xe5\xc7\x1c\xfa@g\x121\x19:B~(\x92!\x08\xe9\xe7\x12\x973\xa4h\x16a\x1c\xf4\xc8\xdd0\xe9\x02!\x00\xd5&\x17\x1c\xf0\xe4n\xe8\xf5\xdaW\x06\xc6\x8f\x92\x82^\x86\xa8\x8f\x04@W\x83vD#q\x87L\x13\xf9'"
"It’s a good idea to save money.","b'0E\x02!\x00\xcc\xf0\xad\x1a*\xc9\x81\xa5Y""\xad\x81FA\x9b\xe4^\xd9s\xcd\xf8\xcd\x86\xf2\x9f\xf2\x0b\xea\x9dm\xc7[\x02 \x15\xfa\x00\x00\xce\xe5\xf2\x12(\xa9\xdb\xa08\x99\'\x16\x94\x8eX\xdba\xed\td\x99\x90""\xa7b\xe4\xfd\xfb'"
"You should take a break.","b'0E\x02!\x00\x85oz\x85\xb5C\xa2\x00X\xe9\x02\xff\x1d}\xc2\xaf-Q&2\x04V\xf6\x8eiC\x0c\x0f\x18\x17\x1bw\x02 ;\xa0\xbc\xfe\xa8d@\xde\xa1\xcd""s\x9c\xb9g,O\x92\xc2\xeb\x88\xe3\x11\x7f7t;^\xd1\xf0\xbdZ'"
"I think you should go.","b'0E\x02!\x00\xc1\xfc\xd6)\x84\xce\xe4\x10\xa7:\xc1%^\x19n\xb7\xe4\xf4\x1c,4\xcd\x98\xc9R\xf1\xfe\x1b\x16\x14\x8f\x0b\x02 *HQ4\xa4\x14vR\xfe\xa1\xbd\x0b`\xf5\xdc|\xb3\xf6\xbd\xd3<2\xd7\xf6\xa9)\rB\x83\xa0S\x9c'"
"It’s better to be safe.","b'0E\x02 d\x88\xa2\x16\x8bzZ\x9e\x12\x0c\xf2\xd9\xf4\xed\rt\xa1b\x8bx\xf0\x08\x02W2\x97\x97\x04\ru\xce\xaa\x02!\x00\xb6w\x944`\x0b0\xafJ\xf1\xcfGX\x84R\xbb\xdb\xb5\x8e\xd9[/\x1d\xf7\xa5\xcc\xf5cA\xd6\xe5k'"
"You ought to eat healthier.","b'0E\x02!\x00\xe2\xfb\xb6h\x8bT<\x86\x0f""\xa0\x8b\xa06\xd7\xb14\xc2\xcba\x0b\xbc\xc5f#y_J\x08\ns\x82\x02 !R\x84\xc2\xc6\xc2b\xe4\xb1\x92\xf1\x17\xe9?~{\xe0\x02X:\xea\x8f\xe0W\x99\xd8\xa4\xc2)(r\xc4'"
"I advise you to study hard.","b'0F\x02!\x00\xa9v\xf0(N\x1a\xe1\x19L?\x8f\xc0a\xe7\xbd\xf2#\x10\xea\xecD\x10u\x8fg\x18\xa2<\x13b!\xe9\x02!\x00\x90E\xc0b`t{\xa7\xaa\xf6\xa0\x17\x93\xba\xe0]m\x97;\x99-\xd8d\xd0\x03\xcc\x07\xc4w\xc3\x9ez'"
"You should get some rest.","b""0F\x02!\x00\xf7\x0f\xfe\xd8\xf4'\xb4\x9b\r;[\x86\t\x87\x1d{\x87G\xe9)\xf4<\xdd\xf8\xc0\xd6\x18u\xbd\x05\xe6\xf4\x02!\x00\xf0\x0e\x056\xd7\x1e\x15\x15o\xbd\xe9\x8eS\x80K\xb2\xd2\x9e\xdf\xa0U\x8es\xccs\x16\x88\xb5\x19L\x1f\xe4"""
"You need to work on that.","b'0E\x02!\x00\xc7\x00s\xfc\xb9\xe5\xc7\xe2c\xbb!\x16\xa5\x9a]7Xp\xca<#\xff\xa1R\xd7\xed@\x94\xa3\xf0\xb5\n\x02 z(c\xe4\xfa\xf7\x02\xd8\x14\xdfu\xef\x87G\x11y\xb9\xbbN\xf8\x88\xfbY8N\xfbB\xea\x16\x8c\x07j'"
"It’s good to be prepared.","b""0D\x02 Iv\x17U\x0f\x0c4GJ\xeag\xb6Hc\x87\xc2\xf8w\x81F5\xe6\xbf#O\x13J\xd2\x0cgr~\x02 ;\xf71\xb2\xd6\xaf\xb7\xbf\xce\xac&j\xa9\x9f\xab,'\x01\x96\x92v\x9c}\x0f+\xed\x05\xae\xe0\xb9\xadX"""
"Try to be on time.","b""0E\x02 \x08\xcd\x9d\xcf+\x84_\x90\xc0\xcc\x0e\xa4\xf0\xaa+T\x8c\x86\xb6\xd2n\x19\x18\xac\xfb\xbbN\xb3\x88\xcf\xde\x1c\x02!\x00\xd7\xf7!\x16\xe1\x07z\xa0\xf0\x95\xa2\xd2\x13\xed\x17c%4\x1dLU\xeaY\x11#\x140\t'Pe\xbf"""
"You ought to listen to her.","b""0E\x02 ]\xd8\xaag\x7f~'t\xaa{\x82\xb17\xb2)\xc3\x83d\x93\xa8\xf9O9\xb0\xbb\xfb\xcc\xb0\xe8\x1af\xb0\x02!\x00\xef\xb0\x08\x9dh\xbck\x9d0\x0c\xe6\xff\x8f\xa4)u\xed\x9a\xd3\x04;\n\xf9Y\x07/Z\x1c\x13\xc4\x02\xeb"""
"It’s best to be honest.","b""0D\x02 o'.\xe1q\xb8\xf66+\xfe\xf1\xc8\xe6\xeb\xb8S\xea;\x81\xbf\x1f?\x98\x8a!\xa4y^E\x08\x130\x02 #B\xcf\xfc\xee\x8f_\x86\xff\x83\x8ab\xde\x91\xf6V(\x98-\xc2\xc1ZfH\xcf\x8d\xcc\x8ak\xb0\xc3\xbf"""
"Expressing Gratitude – English Sentences","b'0E\x02 MRA\xdb\\\xd9\x84\xdf\xa7,\xa6\ts\x1en\':\xd9\xecA\xbb\xe1""\x13E\xf2J\xbdQ\x8b3\x8b\x02!\x00\xff\xf3a\x8d\x14\x88N\xa0\xec(\xae\x17w\x91\xf6\xa6\xef7\xa1\x82\xe0kT\x95\xd0\xdfo\xc6\xf9?\xb8\xfa'"
"I am grateful for your help.","b'0E\x02!\x00\xdb6\xa2\xe5\r[\xfd\x0c+Z\xc53D\xd6\x8f3pJ\xcd\x0f\xd3\x04O\x8di\xa81\xb5\x8f\x96\xe2W\x02 :5l+O\x96\xe4L\x16\xbc\xb2^$\x1b\xdf^?\xc7\xeeB\x9a\xc8,47\x84\xe5\x94KV\x8aD'"
"I can’t thank you enough.","b'0D\x02 F\xfa\xec;n\x1b\xf4\x9fH\x1dl\xd8<\xfe\xe7\xabg\xfb\xe6\x84\xba\x9bL\xd8\xf0\x8d\xe0\x1d\x8bO>#\x02 \x08\xf8\x99J\xc0\xa6\xbc\xa7\x02\xca\x17\xa9\x08\xd0\xfd\x88V\xf9\x9e\xe1\xca\x86\xca\x1f\xd0\xe4D\xb85j9\x84'"
"I am thankful for your support.","b'0E\x02!\x00\xa8\xf3\xe3\x87\xaduqN\xcbM\x81]\x01\xb7J\xb8\xe4S]\xb1\xd4N\x9c\xff\x8eEQ9\\\xad\x8b\x84\x02 \x1e\xf8\x9a\xf1\xcb\x08O\xcf\x96I\x01\xbb&@\xce\x81\xc2;\xc0X\xb2\xbc\xfc1\xd62Z\x9a\xe9\x83a\xd6'"
"Thank you for your time.","b'0F\x02!\x00\xd7\x16\x9d\xd98\x8dH\x16\x10D\xe8fD\xfa7\x92\xd9\x1d\xb6\xec\x0e\xbe\xe6\xe3p\xa0k \x98B\xc0%\x02!\x00\xa2x\xb6\x83\x95\xea\xa8:\xe3*\xf8\xa0\x19\x8f\xd5\xf6\xbe\xebl\x84l]\xc3B\x1a\tF\x8e\x0cZ\xe1&'"
"Thank you for being there.","b'0E\x02!\x00\xd0\xa7\xca\x84\xf9\x90\xbbC[\xa9\xa0\x9ed\xb8i\xd8\xfb<o7\x0cE\xb2\xfb\xe6\xea\x99\\W/S\xf2\x02 \x12tz\xf6<\xb9\xe6q}\x85\xb5R\x10!\x9c\xa4/\x832\x96HJ52\x14\xd6\xb0=y*\x8de'"
"Thank you for your generosity.","b'0E\x02 p\xf8\x95W\xc7\x02{\xbb:$K\xe3\xde\x84\xfb\xe3\xf6\\\xd4\xbe\xb9}\x94\xe4\x81\x16\xa0\xcc>\x02\xdb\xae\x02!\x00\xe8\xe3\xa0r\xa1\xb5\xcf\xad\xfe\x87\x7fr\xb7Ds\x9bC\xab=\x12\xc0<)\n\xc0\xea\x1f\x13\xd5\xc9Z*'"
"I am thankful for your assistance.","b'0E\x02!\x00\xfa\xa5EN\x7f\xba\xd4&\xd8R\xec\x82T]6p\x81\xf4\x7f\xce\r\xf5\x03*\x9e\xd2Q\xc4\xd8\x1dKF\x02 2l\xe7\x1d\xaac\x05_\xc0A\x9d\xc7\x1bN\xc4\xfb]fh\xbap\xcb\x94\xe3\xdc.\xbd\x02k\xe2}\r'"
"Thank you for the information.","b""0E\x02 jYv\xfb!\x08W6\x9a\xc6\x06\x1a1\x00\xaa8\xe5\x8e\x89\xa7\xf0tG\xe7\xff\xed\x06\x87\t\xcc\xb9<\x02!\x00\x905\x18\x18>\x02\x90eU\xe4z\xbbT\x81@\xben\xfd\xa0\xff\xe91\xf6Z\xba\x19'\xbak\xa3oj"""
"You did a good job.","b'0E\x02 (`\x10\xb7\x0c\xa7YL\xd4\xde(Tk\x14}n\xe3\x1c\x91\xd4\xb5\xf2(\xca\xba\xe7\x98\x8c\xf4$\xd4\x08\x02!\x00\x80)bh\xa4RkaY\xfc\xc9\x02k\x0c\x98\x14d\xca4\xac\x12\xd3\xef\xceX\xd0\xd4\xea3\x05M\xc8'"
"You have a beautiful smile.","b""0D\x02 X\t\xdb\x08Tph\x04W\x07\x8e\xce\x19 |\x94'u\x17<\x11N\xf6\x9b\x1d\xc4bn\xe10a\xaa\x02 F\x9at\x9c\x17\xeb\x88jy\x89\x8e\xd7\xd9/D\x96\xb1\xecz\x95\xc5D'\xebtG\xca\xdb\x9d\xb5\x1d\xd1"""
"You are a great friend.","b'0E\x02 \x05\xa4y9\xf1\xea\xa2\xe8\x0eK\xac\xf0CT\xd1\x978\x82\x172\xd0\x1d\x95\xba)\xe7\x88\xb6\x0en@\xb9\x02!\x00\xeer\x89d\n\xe6\x13\xf4\xaf\xcd!\xfd )9wQ\x8dd\xe6\x8b\xd4\xc8w\xfb\x89\x94\xc9\x00\xf0\xa0\x90'"
"You have a nice voice.","b'0F\x02!\x00\xd1\xe9\x9eZ\x8c\xad\xe4\xdb\x8f\xc6\x81\x00\x96a^[\xa2\xfa\x08\x0f\xbe9\x0b\x1e\xfds|\x08\xf0\x01\x1a\x80\x02!\x00\xe5\x99y\xd9Q\xc4\xdcO\xc6\xe5\x973~\xd4;\x1f\x1f\xdf\xfb{\x1e\x07\xceB\xecja\x19\x9fim\x18'"
"Making Small Talk – English Sentences","b""0E\x02 ,\xed^\xb6o\xba\xae\x1b\xdbY3\x87\x8f;\xff\xb6u]\xbb\xb4\xcb>/\x17\xa6B\xc5\xba\xabF\xb6\x1c\x02!\x00\xb4\r8\xafN\xeeGz\x96\x88\xa7\xbd\xd1i\x14\xf4\x03\x03\xfb\x161'%~\xe1^2i\x91\x12s\xaa"""
"How is the weather today?","b'0E\x02 s\xf8\xe1%\xe7\n\xfbC\xc2\xbe\x9f\x8e\xbf>\xda\x0b8J\x97n:\xa4T\xc6MG\x0c\r\xa2\xda\xe7\x19\x02!\x00\xaf\xbe\x92\x89\xf30\xad9\x1cK\xc7k\xf1r\xe6\x16!\x18\xc8\xeby\x14+G\xcf\xbd\xac/^\xc4{\x03'"
"Did you watch the game last night?","b'0F\x02!\x00\xb1\xef\xd0?QP\xef\x16y\xfd<\xb0\xe9\xf1\x07\xfc\xd0\xf2m\x8b\x95\xabY\xde\xa7W\xa0\xdc\xaa\xd0\xe0`\x02!\x00\xf4\x86=:\x81\r07\xd47\xe8\xa7\x80\xcdc\x9at\xf3U\xc7\xda\xe6C\xb4A{\xaf\x19\x03\xa1\x96y'"
"What did you do over the weekend?","b""0E\x02!\x00\xf4\xf5\xc9\x1e\xfc*\xb9\xf3)\x1fk\xd3:|#+\xce\xf1\x85%\x98\x88\x80\xc5\x9eH\x9e\x8bS\x96X\xb3\x02 \x06\xa9\xf2U\xab\xe0yi\xda\xc8o]\x07S\xfa\x9f\x92\x03\xc7\x11\x08\xfd\xe4PT`\x99\x14\x9d'\xa0\x1a"""
"Have you seen any good movies lately?","b'0F\x02!\x00\x9c\x8c*\x1d\xfe\x8d\xbe\xfe\xc7\x13\xb8c\x87\xe5\xfe\xab\xb6l\x88\x9d\xb0\x1b~\xdbcm\x90\x99e\xad\xc2\xd9\x02!\x00\xf5\x1fk\x16;\x984_\xcd\xf2f\x8f=x\xc1O\xdc\xfd\xb8\xf8\xd61S/?\xa0\x8fY\xc5v\xc9\xb3'"
"Do you have any hobbies?","b'0E\x02 S7\xf1fr\x9ds\x86\x83\xd8p\xdbr\xb1\xd4\x97\xbd^\x92F\xb5p\xb5\x12kx\x0eD\xd77\x9d<\x02!\x00\xca\x7f\x80?\x1c\x9cV\xca\xf3W#\x12\x00\xd5\x8e\xbe/\xf0\x95\xe8\x87\x87\xbd\xd0_<4\xe6\xd7\xcd>\xe4'"
"What kind of music do you like?","b'0D\x02 h\xf0\xd3L(\xb7\xea,\xa4\xd8\xb9\xfbwxvz]\x1dKj\xf2C\xdb#\x06\xf1\xaf|`\xb9(\xea\x02 /\xfb*6\xb2_\xb0-u2\xc5\x84\x03\x938\r\xa3m\xbc\xf9\x0e\xdb(\xbe\xe6\xd6\xa9\xb8\xc7-\xa2\xc0'"
"What are your plans for the weekend?","b'0D\x02 L\xd4RW\xa3\x13\x1eJAaz\xc1""}\xa7\xda\x8c\x04XR\xaf\xe0\xeet\xcc\xa4\xc9\xdb\xfb\x03""Z\x02 4\xcf\xb3\xb4\xe4eam\xddu\xc4\xf9\x07\xb1q\xc0\xaf\xa9\x96!\x1f\xb8\xd5\xcd\x88\x94\xdc\xa8\xf58\xddc'"
"Do you like reading books?","b'0D\x02 \x1a\x00\x8aUdw\x1b\xa6\x91\xe6\xf3#W\x12\xb5\x82(,Y\xb0\xe5\xef\xbc\x0694)a\xd9m\xb1b\x02 yL\x06i\x01\xef\x13\xfb\x8c\x88\xcc\xa8\xc1\x96\x83\xf57\x02\xb3\x1d\xf9\n\njW\x15\xa3ig\xca@\x9c'"
