"Strings","Encrypted","algorithm"
"Could you please pass the salt?","NulaO/hVG7AmLsK8pmdPL8FdJj7fDQvYMFOEmTz/N2E=","Blowfish"
"” Doubtless cornstalks 24properly arranged would make an excellent field blind.","31JdYSFZHTIGnaCytn6PTlgn4/RWw+55CXd2JX3rAUTqr/KlvaQ3M64Nfz9hh5QKwS05MBSCUbEc7N1w+f6IqA0tObp9hyqMO+04i+IrF6JLAIlpXvBJJg==","Blowfish"
"I^ubvD+W_4[hGG","b""Io8\xd2\x8c\xfd'-\xa3\xc9\x00\xed\x80\xa0(\xe5W\xd4U\xa1\xcf0f\xef\xbb\xd0\xdc\x06\xa7\xca'/""","AES"
"The latter should be of plate glass, and measure at least twelve by ten inches.","b'\xa49\x9a\xb6\xb6\xd0\xbc\xc4\xd4\x89`\x98h\x88\x9d\xc3\x98\xf0!y\x0b\xc5\xed[\xc1\\\x1eI\xb8\x97\x17\x8fC\xfb\x9f""E0M\x16a]\x95*\xa1\xd5rr\xe8q\x89\xc7\x88R\xfa\xc2X\x95\xf2\xae\xab#!\x1f}!\xd02\xe3+\xe9\xc3p\x9c\xe4\x0b\xce\x9c5\xce\xb1\xf1\x9ec\x8b}\x0c\xa9\xeb\xa2o/\xfa\xdcoL'","AES"
"Progress","jSnO+KYfDllJh1I1MqOZXQ==","Blowfish"
"Dominate.","b'`(\x04\xa3Cj@\x811;\x80~qJ\xea\xc5\xabI\x9d\xc9)\xdc?\xa6\xb2h9\xe7!\xbb\xffn'","AES"
"NOGwJ7RSYK!S=","9Ax5V/AHvYIfH6qeCk3zQg==","Blowfish"
"L&bVIBL?`s1+_JMxJ","b'gM1RO\xb8\x0f\xb9\x90Zw-\xd6\x84f\x1a\xa2\xfc\x97}Q\x07a\xb0\x8b\xb3\xdc\x1cSl\x12\x8a\xdas\xf9L~\xa0\x1e\xe6&-O?\x95f\xbdS'","AES"
"My own work has for the greater part been done with an outfit costing about thirty dollars; and although the best lens is, of course, to be desired it is not a necessity, and cost therefore is no more an obstacle to the hunting of birds with a camera than it is to their pursuit with a gun.","b""\xe8e\x0f$\xa4\xbe\xeeYR\x92Z\xa1\x0c\xfc\xdb\xa1\xbb3\x8e~@\xf5\xb7y%\xf8S\xe1\x9a\x8b\xb1;E\xfd\xfe\xf5\xf1\x02\xdd\x805\x88\xeb\xf2\x8b\x1a\xa0\xb4\xf3\xe6:\xca\xa3\xcf\xfa\xbf\x99)\xd5\x85@\xce\x19Y]hO\x94l-\xad!,7\x14\xde/?\xfe\xe0\\\xde9$\x13/\xe0\xc1\xfab\xb1\xa6+*\xa3\xc7\x01\xbf\xd4\xfc\xf3Q\x9a\xd22\xc3\xfa\xeb\xf6\xe4OM(q\xa4\x0c\xa1\xee\xc1\xee3=\xe8\x1c\x83\x87=\xfe:\x85-+\xf3\xfe\xce\xaa\x96\xeeF'\xb6;\x91\x89\xd0_m9\x91\xcf<\xa2\xea{\x82\xe6\xca2\xc4\xe6\xca\x1d\x9e5@aG72O\xf8\xac\xad\xa6\xad\x1b\xf0\xfc\xb0MN\xa2\xdb\xfb\x14\xa1\x91\xf8\xb9\xbc\xdf?\x9a\x13$X\xc9\xd9\xc8R\xfb\x94M\xe9\xa7s\x95\xa7\x94\x10\x9d\n\x0e\x9c\xc55x\xfeU\xe4?gi+\x95\xea\xaeU\xa7\xd5\xbb\xb7!\xca\xa95\xbb\x1f\xc8\xa4\xd6B\x80\x90\xd8\x17\x06C\xbf\x12\xben\xec\x05\x9d\xed\xa4\x1b\xe6\xcc\x1d\x8ba\xe1L6yO\xaa\x86\xed\xadb~U\xd8\xd1\xa0\xce\xae\x90\xca\x00\xa0\x07;QI\xd1\r""","ChaCha20"
"jkJa`w|Z""BRm90N","b'\x7f\xa0k\xd0\xa9\xde\x7f\x92h!8En\xf6\xd1\xceK\xc4\xce\xf6\xe7e\x01\x8b""6\x93\xe5\x05;$i'","AES"
"6!MmtBCueXUc;8","NtuHNlH1gTRDReKaf0H0jQ==","Blowfish"
"yCHx{57#zY","bTzFqyOpAMXjhzDq1PyXPw==","Blowfish"
"Keep winning.","b'\xf9\x1eYT\xac\xce\xf2\xb6\x02Ux\x8d\xf7\xa85\xee\xafu\xb3\xa7\x81\xc0\xd9r\xd1w2Rk\xfd\xb9\xa8'","AES"
"This mirror, however, is movable, and the desired object appearing in focus on the ground glass, a lever is pressed downward which raises the mirror to the top of the box, where it automatically releases a focal-plane shutter (see beyond, under The Shutter) directly in front of the plate, when the image-bearing rays, before intercepted and reflected by the mirror, are registered on the plate, from which the slide had previously been drawn.","b""\xf4|-\xfd\xc2\xd2>\xf2 x\xbf\xa1\xc3(\xa9e\x97\xce!Q\x0b\x19\x94*N\x81-K\x07v_\xa5C\xabp\xe3+E\xd44\x18\xab\xb4\x94\xdd\x9e\x1f\xcas\xccv\xeb\xfd\xa5\x14\x11\xf6#O\xbe{h\xbb\x1a$<\xc8n\xd31Z\xa8N\xb8\xbc\xee\xef\xa6,n\x02\x01\xc2\x08\xb3\xb9\xdc\x9a\x063v`\x8b\x8d\x11z\x19.x\x9e\xba&\xe0d\x87\nfo\x8fp\xff\x15\x91\x80\xdf\x93\xf3\xdd#\x1a\xdb\xf0\x82*\xa6\xd7r\xf9;\x04\x1c\x11C\xb6\x12 ^\x9f\x92\x85\x11\x90\x9e9\\>\x97~P\xda\xe4w\xa4.!\x07Aca*j\xca\xa3!\xc7\x9d\xce-\xda\x99\x8aF:\x9f*}\xc7\xcc\x14E\xd3\x89\xb9\x98<:\xdb\xe9Z,-\x01\xab\xd3\x88\x0f\xfb\xca6\xe2%8\xa6I\xf3\xf0\xdd\xd7jb\x84\xe2'\xb1\x04\xd5iiC(\x8by\xd4\xed\x05HC\xa0\x08_\x9a\xc0\x84\x9c\x94\xcc\xa4\x1cMK.R\\\xf0~\xc7\xa8\x1e,\xa9\x0b\x03~\xd9=\x02^\xa4\xa1\x8dv\xec\x0b\xbc\xc2$l\x13\x97\x96L\x84\xa6\xf2\x98{<u7q\x0b\x00\xab\xf3Wq\x03\x9ea\xdcr\x02\xc1;\xfc\xc7\xfe\x9d\x12\x91\xac\xda\x94\xdbpQ\xa8\x7f,\xca\x94\xbd*\xda\xe9R\xc4\x1f\x9b\xbcX\x96m\x00\x97F\xfa\xba\x86\n\r\x84\xb2\xab}\x87s\xa3\xbe\xd6\x8ey\xaa\xe9\xee\x14I(\xed\xb4\xfdT.\xbf\xf0-m\xcd\x9c\x1agV\x9al\xbb\xde%\xab\xca\n\xef\x11\x8c\xbf\xb1\x11\xdd\x92\xc2-)\xb8\xb9Z\t\x1f%\xd9\x07\xa6\n\x06n\xb9h\xc1\xfe\x02\xf9\xb0=KP-\xc7%\xf2\xe62O\x8e\xdb\x90\x8bqBuk\x91\xc6\xfa\xa3\xb1\x9c\xb4\xa5Ff\x81\xce\x943\xa8\xc2y(\x98\xf6\xcc\xb3x\xa2\x01""","ChaCha20"
"36,@MRL5JcD","OOFlL28aL8ZWCcZxZIv3/Q==","Blowfish"
"The Cold War was fought with ideology, fear, and political maneuvering.","b'\xc6\xcd.^e\xdb\xc4\x05\x1f\x15\x1f\xce\x8bWb\xb9\x8d\xc8mztc-*\x04O0\x9a\xd2\xbbK\xaa\xdc\x1e\x7f8\x13[\x89\xe8[\x8f\x8c\xe3\xacjt1\x1f\xfc\xad\xce%\xe7\x1c\xcf\x85\xaa\x9et(\xe9\x14\xa5\xc3V\x92\x12M\\\x91\xc8\xd5\xc0X\n\x8e\xb9\x80\xedH\xb9\x15\xde\t\xc7S$\xfc\x9b\xc3/\xea\x8d\xcf\xd4'","AES"
"Global Warming","b'\x07\x0c\x0e""\xad\t7\x9c\xc5\xec\x82\xa66b\xd6\x7fz\xe9\x81\xdf\x96\xd9\x13\xe9\xf1\xd7\x93\x84_^<J'","AES"
"Could you help me with this?","b'\xf6o\x94\xca\x91\xfav\xf1\xb9\xe17&\xb6\x15\xf3,\xac\xc2W\xb3\x82\x96\x97\xd9u\x97\xc7\x13'","ChaCha20"
"HELIOS was also designed to disrupt the intelligence and reconnaissance sensors on enemy vessels.","Ub8ITQrD5uE0gKSnpQYCSpFsj9dPerhcLRx2N7rNaAqYhZ9Cej/xFffuB258JTj6XtvmpSEIgOUn7jWCxvo59BQmqzLP+KWipBV+jkZWU74T37G2zy4qpeLAt8ibX9L2SwCJaV7wSSY=","Blowfish"
"A good plan is to buy a piece of glass of desired size and frame it simply in white pine.","30Y7MNZv4h2d6BEEsp1lpWWsf+G11mX/0+i/CuB0SHQHOzCk9VebdjyVekjMJHg40BwlpxiH76ZdnaW6+kNdwyt2wN05PUHWa4EwicHj2YhudM8ejWtmPksAiWle8Ekm","Blowfish"
"Decreasing the width of the slit one half, proportionally reduces the time of the exposure, and by this means, in connection with an increase in the speed with which the curtain is moved, an exposure of ¹⁄₁₀₀₀ of a second is possible.","b'>2u\xa4\x9a\xd2\x1f\xd5k\xef\xde\x84\xf5o\x89\x92\xf5""4\x08f\x08\xd1\xc7e\xfbdik\xcb\x04\xac\x1a\xaa\xb6.t\xd0\xbd\x807\x0b7B\x89\xda\xca\x86cAW~\x9b\x92\'\xea\xebI\x97\x84\xf1Hx\x0b\xa4\xcb\x91\xa4\xd9\xc4\xdb\x02\xe4\x94h\xbbS\xd5\x93\xd9\x87""\x0b\xb9::i\x96Qm\xf0\xa7\x16H\x9dT\xf40\x12:\x128\xc6\x9e\xd4r@\x9e,G\x0e$`R\x9dt\x04\xa0R\xb4\xaf%X\x98\x90\xac\xbe<x\\)k]\x81\xd5\x0cU""Gn\'F3-\x7f\xaa\xb4\x1492\x8a\'\xea\xf7\xfe\xe8\xf0\xd1\xa22\xfb\xba\xd6\xd5#\xc6\x12@\xe2\x172\x1f\x13\x03\x8aW\xf0h\x12\xf2\xeb\x9dM\xb40\x8b\xcf\xbf \xe9\x89\xac2h\xf4\x02\xda;@\x10\xe3\t\x8bs}\xa7:\x87\x84B\xf9\xe2\xf2\x1e\xa6\xe6J\xc5\x06f\xb5\xf4b\x10\xae(|\x8c\xad!eG|}}B\xcc\x93\xd9\xab\x7f\xc1\x1a\xd23'","ChaCha20"
"Noise Pollution:","nvO/FwiKuynbak9paZyALEmHUjUyo5ld","Blowfish"
"R,168[H&P$d\""p]","b""\x93\x19\xa1\xa3\x86\r\xa7'G\x99\x01\xccZB23\x11\x04\xd0\xa3\x07=v\xb2P\xfe\xcd\xc0\n`\xe8\xd4""","AES"
"With this camera one may take advantage of any offering opportunity to secure a picture of a bird or beast when afield, and this fact, by increasing the possibilities of an outing, adds greatly to its pleasure.","b'_1\xbbY\xd7\n`\xc0\xcf\x9d\xc8\xfe\xc0\xfa\x18\xfecJ\xf3\xfb\x9a\xe8\xea\xa7\xd4\x14\xdb\xa1z\xe0\xeckaP\xeb\xe9\x19\xca\xf1;\x99\x7f\x9e\xd7\xfa\xd8\xe3\xd2\x90{G\xaaF\xc1Y\xbb\xa0\xc0\x9a\xe3Q&\xe4\xd1oPH\xcaV\xc72\x12*\xd5*\x9b\xac1\xca\x8f\xfc\x90\x1b\xca<\x8cX2Q\xf5\x07\r\x86\xd2\xa4E`\x1e\xc6\xedc\x13\xca\xa4\xc3|!\xe1\x8c\xff\x96\xa3a\xa2\xafH\xf5\x10\xa7\xfd\x11D\xdb\x19\x1f\xc3\xa6\xe1\xe4\x9ec1\x17\xa7\xb0\x15A;\xae\x11\xcd\x06\xd1Y\x94\x97\xb3\t\xc6\x93\x06\xd0\x91\x15\xa3\xf5\x95\x87!J\xec\xac$\xf9X\x18\x0e[\x04\x0e\x10K\xdd`o\xcf\xab:p\x86\x92\xfeY\xc8\xda\x8d\xfa\x8d\xd5\xa8\x16giu\x95\xf3\xe5)\xfa\xe5\xa5F\t\xb4\x15X\x81\xc8\xf4\xfa\xc5\xcb\x84\x9bvs\xbdu\x93\xd5\x0f\xa85\xce\xb5\xb3\xe2o\xb7l\x82T~\xca\xcf\x1d\x95\x9dX\x83'","AES"
"The camera may also supply us with graphic records of the few large colonies of birds yet existing in this country, thereby preserving for all time definite impressions of conditions which are rapidly becoming things of the past.","b""\xbe\xdfUl\xf8\x82\x8c\x1b\xd4^\xc7u?\x9e\xde\x0b\xe4\x1a0\xc9\xe2\xbdUE\x8d\x84y\xcf\xbeTG\xd4\x97\xa4ZE\x14?rU1=Oa\xe7\xecT2\xacQ\xcf@\xd7\x19>\x99B\xe0\xad`\xb2\x9a\x8dcs\xd1/\x1e\x15\xc6\x08\xec0\xe6b\x11\xa1\xcc\x19\x87\x94\xce\xf2\x12\xaa\xf3!m\x84d\x86\x8f/{\xa2E\x0cy\x9e#zu\xde\xe6\xfa{\x0eA\x9aM\xed\xef\xab\x9d\xa2\x92\\9? \xe3\xcd\xb7l:\x97o\x15\xa1\x0b\x92[\xf6\xe3xs\xddb$\x0c:\xb7\x91\xf3MI\x92p\nPc\xb1v\x9et\r\x9bb+btJ'\xd7\x95q-\xa2r\x0c\xcb)\xe6\xa3\xdc\xed*4\xb8b\x90J\x95?&GE-\x05cS\x8e\xb3\x01\xf7o\xd7s\x08`\x8b\x92y\t\x94\x1a\xb0R\xbd\xe2l\x17\xfb\x07\xbeF\xe2)\x92dt \x16\x94%\xd5\x97\xa5h\xef\xaa\xc7\xc4\xebf\xeam@L{\xc5\x96\xea\xde\xf8}+J\xd2\xdb\x92\xe6\xff\x02\x90\x8c""","AES"
"Pollution is a key issue that has been affecting our earth.","b'\n\xa2V[h\x0b\xc8\xb2N\x85\x88t\x9c\xb3ky\x9d\xd4f\xdfu\xe8\xc7\xd0\x9c\x99Q\x1fK\xf3\x7f\xba\x86\xa0C`\xaf\x9f\xae\xc3\x0b\xe0\xec\x18\xdf]^\x07\xe1\xa6\xd9T\xa4\xd1\x17\x17\x8c\xb7\xb2\xf6\x89\x16\xeb\xc2\xf1\x11\xf8\xdb\xc9\x01\x8b6\xff\xda\xd5\xc2z\xa5\xff\x11'","AES"
"hz%{|8.~(<M""5HsZK>:X","b'\xfd8\x97v2U\x1e\xbe\xe9ePt L\xff\xa0F\x01~\xc0'","ChaCha20"
"Life isn’t about waiting for storms to pass but learning to dance.","b'\xf8$\xbe\xbbR\x1b\xc9\x00>/\xbdr\xc6\xd5&\x11\xda\x11q;\xe9AlaJ\xaf\xe9\xedz}\x80V\xdf\xd3\xef\xed\x17(\x81\xfa\x99a{?\x88\xf4c\xdb\xa6\xb9\xd0\xed""\xecH\x0c\xbaI\x83\x80S\x1f~\x05y\xbc\xe1K'","ChaCha20"
"Under favorable conditions such pictures may possess an exactness of detail which makes them perfect representations of the original, giving not alone position and expression, but the arrangement of the feathers, and they then have scientific value unequaled by the best productions of the artist’s brush or pencil.","b'\xca\xc5y\xc7\xe7\x8cB\xd1\xd2\xe6\x11i\x18n\xaf\x0c\x17\x92\xefY\xe8\x998\xb1x\xa3u=\xd73\x874@\xe5\xccJ\xd0m\x06h\xa4\xea\xc8\xd0;pB\x1b\xf3yy\xa3\xf8\x19)g-\x11\xeeZE\xc2-k\x16J""\xa6\x95\xb7\x7f\'sa\xf7\x84z(2\xb7\x9fe \x8d\xa71\xf1\xc1}#0s\x8a\xce\xd7\xa0\xd61\xef\x0c\xdbBc\xb8(\xef\t\xcf\xef\xb7\x1c\x13\x98V\xf6\xe56\xdd\x07\x7f\t""\xbc\xa7\xc2\xd0\x8d\x92K\x8e q\x1c\x87\xafrf-)A\x87z>\x95\x1f9\xad\x1bP\x07\xef \x98\x01(\x870\x1e\xc9\xbc\xfb\xbbT\xce\x8d\xccd\xd7\xcf\xfe\xcc<\xce\xec$\xdfO\x1b@r\xb2;\xe7]\xb1\xed\xb4\xe0""\x0c\x01+]\x9cQ\xe24\xd1\x14<\x9e\xbc\x142\xe1^pm\x87&CREg""o1\xfan\x0b\xbe~\x95&\xc9\x80\xb6Mu\xb2\xf6\x1eK<\xf4\xd6\xa1\xfdj\x90\xd5\x16H\xfa\xa4\xb1p\x92\x85-\xfcJ\xbc\xec<Oh\xc3-$\xefv\x95`\x19`\xa9Y\xd1\x9f\x83\x7f\x114\xe9\x177[\xc8\x87\xd6\xd6\xf9\x07\x88\x9c\xdfN+\x98K\xa6z\xc4\x1c\r\x9b\x1di\xa9\xa0^\x08H\xbe\xcf\x10\xd9S\x0c\xccP\xb9\xf3\xec\xb6\xeb\xe9 9f\x89\xf9\x13\\\xa7\xd34\xb6\x0b/\xf3{\xbbE\xd5'","AES"
"6?=Bcj'iWmlVdw3","b'\xf8\x94\xe1\xf6\xbc\xe7\x16\xa8y""1\x06@FK.>\r\x12G\xa5\xf26\x85\x14\xdf\x07Z/\xc8\x13\x03'","AES"
"Your future depends on what you do today, not tomorrow.","b'\xa34\xe4bJ\x18\x18\x99\x18z\xae!\xf7,\xaa\xe1\x89\xcf\xb7\x81\xce\x08J\xc8B)\xff\xb2\xa8\xdf%\xccfd\x81 \xb0\xcdFwsh}\x97\x0b\x86ELpL\x0bPye\xc6\x99p\xcab:kPf\x13\xe8\xccK\xf7cV\xac\x1b\xb5\x19%\xb7\xbe\xa7\x1cg'","AES"
"Making Small Talk – English Sentences","b'>\xe2E\x05H\x15qx\x97\x8a\xbd\xcfB\xaa\xdb\x08\xd0d\xc5\x03\x1f\xe7\x16i\x96\xed+\xc1\x8cl\xfc\x18w\x92\xfdY\xff\xc0V\x15\x81{\xcbKD{\x9b2b\x02q\xbbK\xb6X\xb26Vc\xcf=Y\x14\x95'","AES"
"@^KQjZh*Lo[*","b'\x94/%\xfb\x953\xdf\x0c\xb2\xed\x1f#'","ChaCha20"
"jbBdMvry7m8:~62;iV?c","33dsRTCfL76Od/blUgoiKT6IJAfqq8Zr","Blowfish"
"I think this is great.","b'a\x14|C5\x8d\xab\xae\x9a\xa1\x1d\xd7\x80\xa3\xef\x1d\x04\xcd\xe8\xe4_\r\xa3\xb7|\xbe\x7f\x1e\xceW\x12\\08#;\x04j\xc2\n\x9e\xc5\xab\xe7\xb5P\x1cf'","AES"
"/_A)Sa],EBdwoxSeEQD","b'\x03\x8c\xb9j\xe9p\x83\x16\xef\x04\xf7c\xf7\x19\x14I\xd4\x8b\xad'","ChaCha20"
"'Even if a few sailors were expert shooters capable of shooting down drones, it likely would take a few minutes from the first report of a potential drone to identify the drone, raise the alarm, and bring key weapons and associated ammunition to bear against the threat—time the ship might not have.","iRcfSU+3heXMW2mROENdpCflIBXwwYKo+avshnJQlJvJVMQ9raGGWd/ecqPaSlsPNef82vWePIouN1pOCURaFK0X5xDKavIYku4EoQfOe8r50mr8chtUrFbR1HlDS7Iuq0+ycfivJX2AAdHHA5AAQs32mhMfc5a87A+IZHkVzj4/bFOiNsMfrlM1UmwWqGa8BFHdJhyUpWTf+g63DqcZ1ptLqgFhDKYTgcFa6HuAIXTMDlxUTnQMo2Je7GIBa6vYbqvBzNKABoKpkdctrPf9fmw4Gm5jKVSpwPLbiak7UMU3zS1zKf7hkNqMSWYuOJoY6oz6BoAgE8IztAHbKhXv2Rdr4ALC9DkB0rtYRMrtLNg+vVphEEY0Njm5ZTMpXCespFSy809GpjE6S9jkQvxBuQ==","Blowfish"
"Every problem has a solution; sometimes, you just need a new perspective.","b'R\xbf\xf1\xa0hE=\xdf\r\x9a(tX~\xfc5~11\xc8{X\x0f\xb2\xe0\x95\xf1$A\xf6L""\xa4 \x08\xc7\xea\x0e\x85\xb2\xf8\x07+\x03#\xd5\xe6\x85\xcf<4\x9b[V^\x85\xf5\xd9\x04l\x12\xc4\xfa\xc3e\x91\x89\x17\xc1\xd6\xba;-'","ChaCha20"
"Keep smiling.","8+YsPd5Dubd09DNVa6T4Ew==","Blowfish"
"],>h0UL~wAWZSs}P!26Z","88N6TTBpU7XZCusodAoZyNeeDgEhiHUA","Blowfish"
"Thank you for your time.","b'\xf9\x11\xd6\r\xe0\x04\x9aH84\xa6p\xe5z\xe4\x068$3b\x02\x83\xd8\xa6'","ChaCha20"
"It’s stormy.","HqvSlfdxzrKtBizJXnVYCg==","Blowfish"
"Pollution Types","cHTnvMZesFnLo2cJTUUgvQ==","Blowfish"
"Can we watch a movie?","b'\x1b\x94\xed\x03T\x7f\xcf""<\xb0\xdaJz\xec\xc2\x9bu\xd3\xf6\x8f\x00\xf35\x12J\xb5b\xfd\x8dZ\xa65<!`\xe2\x00x\xf0\xf9\n\xd4\x95\xb8\xa8,e\xa9'","AES"
"No one remembers the excuses, only the results you produce.","b'\x1d\xdc\n\xe5\xf0\xb7\x8cs\xebze\xd4\x94pN \xa6\xc0\xba\xcd\x8f\xe4\x83Y\xf4\xd9DPa{\x0c\xc9L\x12\xb5\xa0\xfd\xf1\x16r\xd8\xabP\x91f\x0e8\xff,\x7f|\xd9\xe3\xfem\xfeH\xf5\xd1'","ChaCha20"
"For use as a hand-box only two kinds of camera are available, for it must be borne in mind that the set-focus or short-focus, wide angle “snap-shot” cameras, so popular among the button-pressing fraternity, are not adapted to the wants of the bird photographer, who must therefore avail himself of either a twin-lens or a reflecting camera.","Qu+08hWXNRC9myBY2Ux/1745YWb5llRS0NZVdFJFrltLOq92H+cWYeemraAxXsRYC2+qjDw15IRreJdGuwKtXyxEDY7J1D4iXqcmiEweGrrnaf0AgL55/kh3OVv323aWYW3UtBSZBv2bd9BTAeWa4wjNmus17c3FomApd7lW+6IgbpEFTgpCrjUpV4fyD0e4MnLzxdM5AQK6Ce6eao0aK0wcGgK31hm8RI/ad1hMl0aYs6zXAKCb1/eHmWJTdc6uNobu+yBdhPa3uznx6Pv3jCsPfLLODWxEnJABpF7qKxoma3N8wTJcyLomIPUptfkBygEMCmEZzMYd1q3LYzcRq5jf7CpWVF+micb4NmPSggd34FtAeg/Cj/uCH6iFNZgyHCeCp8WaWhJiThhpIUFQUaT8ZcUzd3y7j/9qCI6CPM9lmdwHZc9h7ZwVGA/XE6zcDtY8KlucSPBJh1I1MqOZXQ==","Blowfish"
"a$}Y{9.][Ek+bhvsfl","b""\xf9'q\x9fUdg&)\xb3N\t7M=\xe3\xec~""","ChaCha20"
"May I borrow your pen?","b'\x7f6\xc0yn\xd5\x87}\xc1\xd9\x94y\xbe\x03\x11\x8dMx\xc8\x88\xf2W\xe7u\xe7\xacy\xa3i\xda\xb6JM\xe7x\xc4\x7f\x89MZo\x9d@,h\xcd\xb4\xc6'","AES"
"Can you print this for me?","5uf82NQy4b0IGKKwStgaA4ON/3n5sySxcmWLQLPwJUQ=","Blowfish"
"Imagine","pq18M8WOnT0=","Blowfish"
"Stay true","b'!H\x157\xe9\x19)\r?\xe5\xdb\xf9\xd8\x1b;\x94\xa4mt#C\x00\xee\x9a\xc5g\xe2uYC8\xee'","AES"
"The Great Depression reshaped economies and changed government policies worldwide.","WL3JgIg9KEU3mu0neIT7ISwInnzHHHEM5CC0BdFUUDxXS+VMyIOtIDqeIpD9UEsywyBhF5iR9e6X1QhH9RorKhM98GModFUDXhxLXSCj55k2/xMWnwwuvw==","Blowfish"
"Global Warming","b's\x12</\xa9\n\xd64\xc1D\xbe\xee\xac\x9c'","ChaCha20"
"UQ79B&1LeP6I'`5N","kdABlp5Dh+nJ7Mvk6N+vNUmHUjUyo5ld","Blowfish"
"-%|@cIN+fW3<w","AKx4U9ot1WO1nVPUf8kdCA==","Blowfish"
"9=,BsglD*B^e","b'\xddp),rf+\xd8\xfd\xe5\xeb\xa6'","ChaCha20"
"O{N!*QjJVbhNmGEfh6","aZ1N36nyj79mrTmeO2IiX13nZ5X1J1oW","Blowfish"
"Stay consistent.","b'\x95\x7f=\xea\xd8=N\x1c\x88-\xba\x0f>v\xed\xf4'","ChaCha20"
"With the fourteen-inch we decrease the extent of the field nearly one half and almost double the size of the object pictured.","3rGqr2ll1iQPV87wPhpRFxhyYnsMaiaW172UzxdKiIIV3lIKy6ejFbmI+cn6v/ioDSiyCac0luwj4bZoUBN98p21zcu+Uyl/4i1qaixHwiaej4m9SYjqwuKnralPVPtckLthOTrCdtTSiZYHaao8I4TtwBk0QasDhbo010x5xXk=","Blowfish"
"The most valuable currency is time, not money or possessions.","b'f\xaf\xbc]\x00L\xda\x8e\r\xc1\x1cL\x87Lc\xd3e\xde\x81\x8e\xd2R\xf8\x17\xcc\xe6\x80\x80\x04v\x80\xe4\xae\xcd 1\xfc?\xc9\xbaI\x8a\xb4(l\x9aR\x8a\x9et7\xd8\x04\x99\xa3Ry}t\x13\xc3'","ChaCha20"
"Don't fear change; fear being stuck in the same place forever.","b""k\xd7\xd7\x95*\xbb\x16\xc9\xc6C\xe4|`qm\xb1\xd6\x84}\xe9(\x0b\xc5\x93y\x14\x9ctc\xad\xb6\x1d\xd7\xfd\xa8\xb0\x80\x07\t$\xa6\xea^W\xb8\x80P\x03\xf4\xe4\n\xe4\xe6]zo7\x07&L\xde\xa7\xb1=\\UE\x87FN[\xfd\x00'\x03\xbb\xfd\x96CE""","AES"
"—A stout two-length tripod is to be preferred to one of the slender multifolding type, in which stability is sacrificed to weight and size.","b"":o\x02\x1a\x8d\xcf5\x9f\x85\x96\xfa.K\x8bUB\xbe\x8ebT\xc0\xec\xb9*\x15\xdb\xa3#\xf4\x0b\x1e\x90\xf9\x8f\x0f\x03\x0f\x9eF\xa7\x19\x94/d\x83\xe2\x8c\xe5\xfdlD\xdc\xeftpI\xd6\xdfNy\x07,\x1f\xfb'9\xbd\x8e\x0e\x0e\xa2`Hy\xfb\x8a0\xb0\x8dhZ\x0c\x99/\x9aY\xde\x97\xd4!P\xa5\x83\xb3\x82j\xf8\xf2\xc4\x1b\x86\x9e\xc2\xba~\xcc\xf3d\x0cL\x9f\xbe\xe0\xb61\x95f\x93\xdcrf\x93\xdbQ\xefCZ'\xc7\xa0M\xfe\x0b\xde\xc0\xe3\xca[\xac\x81\xf4:\xb3b\xec\xe7I7<\xd4\x10\xb5\x1e{\xadV\x90\x904.""","AES"
"d) Household products, such as cleaning supplies and personal care items","ClU7m+AQG47a0lDzDgqFFrs+raoQM/1FAgWEMljFk3Q+ZFlImtq4UnSx3Wa0QQY87WgOyyagXlunXcTnwxEaQYLuxfieewLlSYdSNTKjmV0=","Blowfish"
"Freedom.","b'V\x8d\x9b\x9c\x8c0/\xc3'","ChaCha20"
"What an invaluable addition to the history of the Great Auk would be a series of photographs 3from Funk Island, taken during the period of its existence there!","zTw8E3tvfiRyydUvV6bIPLLsKtlT6H+r7UohonXvWQLB2abb2zLd5tjT3bl+Ek14y+55J6fROweEs4sCMhdBS888gUbI2ETr/g6qBmMxX0pNOhNjgE4mEGoVM7prW059uBoo2nHEoK5ltizNTY1ZQYRUHNybuW+yUUq+YuMPNKXHSNsxId1uMhnVq2YVDvQpPw/wYNSHonsjeu+lykbY8g==","Blowfish"
